epoch11g step in cur epoch 23losstf.Tensor(0.6344769, shape=(), dtype=float32)
epoch11g step in cur epoch 24losstf.Tensor(0.29687613, shape=(), dtype=float32)
avg loss=tf.Tensor(0.49233496, shape=(), dtype=float32)
epoch12g step in cur epoch 0losstf.Tensor(0.4906909, shape=(), dtype=float32)
epoch12g step in cur epoch 1losstf.Tensor(0.36875778, shape=(), dtype=float32)
epoch12g step in cur epoch 2losstf.Tensor(0.59291553, shape=(), dtype=float32)
epoch12g step in cur epoch 3losstf.Tensor(0.46404117, shape=(), dtype=float32)
epoch12g step in cur epoch 4losstf.Tensor(0.48512968, shape=(), dtype=float32)
epoch12g step in cur epoch 5losstf.Tensor(0.39409208, shape=(), dtype=float32)
epoch12g step in cur epoch 6losstf.Tensor(0.52580214, shape=(), dtype=float32)
epoch12g step in cur epoch 7losstf.Tensor(1.0057727, shape=(), dtype=float32)
epoch12g step in cur epoch 8losstf.Tensor(1.0812325, shape=(), dtype=float32)
epoch12g step in cur epoch 9losstf.Tensor(0.97133046, shape=(), dtype=float32)
epoch12g step in cur epoch 10losstf.Tensor(0.8720925, shape=(), dtype=float32)
epoch12g step in cur epoch 11losstf.Tensor(0.95425063, shape=(), dtype=float32)
epoch12g step in cur epoch 12losstf.Tensor(1.0172126, shape=(), dtype=float32)
epoch12g step in cur epoch 13losstf.Tensor(0.8562522, shape=(), dtype=float32)
epoch12g step in cur epoch 14losstf.Tensor(1.0953085, shape=(), dtype=float32)
epoch12g step in cur epoch 15losstf.Tensor(1.1493726, shape=(), dtype=float32)
epoch12g step in cur epoch 16losstf.Tensor(1.1079178, shape=(), dtype=float32)
epoch12g step in cur epoch 17losstf.Tensor(1.0565574, shape=(), dtype=float32)
epoch12g step in cur epoch 18losstf.Tensor(1.0381916, shape=(), dtype=float32)
epoch12g step in cur epoch 19losstf.Tensor(0.96625924, shape=(), dtype=float32)
epoch12g step in cur epoch 20losstf.Tensor(1.1959265, shape=(), dtype=float32)
epoch12g step in cur epoch 21losstf.Tensor(1.0341848, shape=(), dtype=float32)
epoch12g step in cur epoch 22losstf.Tensor(0.9746883, shape=(), dtype=float32)
epoch12g step in cur epoch 23losstf.Tensor(1.1193137, shape=(), dtype=float32)
